"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1961",0.919500346981263,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1962",6.16583576872386,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1963",9.15960490095536,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1964",9.82001582278481,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1965",7.5056280954525,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1966",7.00255475981065,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1967",10.6892637676622,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1968",9.0983026874116,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1969",12.3780507568145,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1970",11.176165205353,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1971",10.535190806029,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1972",9.63434096883216,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1973",18.0763384924967,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1974",19.4390557862103,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1975",16.7367446378967,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1976",17.4396983291074,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1977",11.3223424161564,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1978",10.3478113841838,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1979",14.7638061416714,
"AUS","NOMGDPFORECAST","DOUBLEHIT","AGRWTH","A","1980",12.8158206821806,
