"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.694893722,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.173520935,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.369595031,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.36249254,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.731417457,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.941716343,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.90303654,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.559720849,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.916586408,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.703407585,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.466803702,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.105209275,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.061420911,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.454705947,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.918320523,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.677946839,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.42424595,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.896328468,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.277520874,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.266951695,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.196940483,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.83078489,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.780972453,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.852092141,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.896710694,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.607928656,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.597936205,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.866419881,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.215958443,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.462244102,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.267525648,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.502230092,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.038163921,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.554383091,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.190970426,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.689082447,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.933446653,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.294315625,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.127337413,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.394311531,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.671582534,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.113077155,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.337161134,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.897378508,
"OECD","QGDP","TOT","PC_CHGPP","A","2006",3.197048826,
"OECD","QGDP","TOT","PC_CHGPP","A","2007",2.688886482,
"OECD","QGDP","TOT","PC_CHGPP","A","2008",0.357662613,
"OECD","QGDP","TOT","PC_CHGPP","A","2009",-3.351785636,
"OECD","QGDP","TOT","PC_CHGPP","A","2010",3.062619895,
"OECD","QGDP","TOT","PC_CHGPP","A","2011",2.076211609,
"OECD","QGDP","TOT","PC_CHGPP","A","2012",1.376385387,
"OECD","QGDP","TOT","PC_CHGPP","A","2013",1.604132896,
"OECD","QGDP","TOT","PC_CHGPP","A","2014",2.207247265,
"OECD","QGDP","TOT","PC_CHGPP","A","2015",2.622626917,
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.851394423,
"OECD","QGDP","TOT","PC_CHGPP","A","2017",2.667722146,
"OECD","QGDP","TOT","PC_CHGPP","A","2018",2.339400017,
"OECD","QGDP","TOT","PC_CHGPP","A","2019",1.629834961,
"EST","QGDP","TOT","PC_CHGPP","A","1996",4.935972,
"EST","QGDP","TOT","PC_CHGPP","A","1997",13.046535,
"EST","QGDP","TOT","PC_CHGPP","A","1998",4.330296,
"EST","QGDP","TOT","PC_CHGPP","A","1999",-0.403436,
"EST","QGDP","TOT","PC_CHGPP","A","2000",10.10652,
"EST","QGDP","TOT","PC_CHGPP","A","2001",5.979603,
"EST","QGDP","TOT","PC_CHGPP","A","2002",6.802391,
"EST","QGDP","TOT","PC_CHGPP","A","2003",7.566692,
"EST","QGDP","TOT","PC_CHGPP","A","2004",6.767457,
"EST","QGDP","TOT","PC_CHGPP","A","2005",9.490296,
"EST","QGDP","TOT","PC_CHGPP","A","2006",9.718759,
"EST","QGDP","TOT","PC_CHGPP","A","2007",7.573581,
"EST","QGDP","TOT","PC_CHGPP","A","2008",-5.088942,
"EST","QGDP","TOT","PC_CHGPP","A","2009",-14.433869,
"EST","QGDP","TOT","PC_CHGPP","A","2010",2.690333,
"EST","QGDP","TOT","PC_CHGPP","A","2011",7.443935,
"EST","QGDP","TOT","PC_CHGPP","A","2012",3.124843,
"EST","QGDP","TOT","PC_CHGPP","A","2013",1.346188,
"EST","QGDP","TOT","PC_CHGPP","A","2014",2.987326,
"EST","QGDP","TOT","PC_CHGPP","A","2015",1.844885,
"EST","QGDP","TOT","PC_CHGPP","A","2016",3.187819474,
"EST","QGDP","TOT","PC_CHGPP","A","2017",5.499151758,
"EST","QGDP","TOT","PC_CHGPP","A","2018",4.355465207,
"EST","QGDP","TOT","PC_CHGPP","A","2019",4.996442493,
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q1",7.450289556,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q2",5.00209888,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q3",3.576950295,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q4",2.996160574,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q1",3.466854108,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q2",5.112241186,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q3",5.465212346,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1962-Q4",4.759933392,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q1",-0.372460846,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q2",3.02141052,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q3",4.102017033,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1963-Q4",4.832455357,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q1",10.127128404,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q2",6.688292601,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q3",4.182533938,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1964-Q4",5.091160602,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q1",5.361369982,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q2",5.732236512,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q3",5.341682654,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1965-Q4",4.549872774,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q1",4.73437015,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q2",3.424303762,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q3",2.866220447,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1966-Q4",0.657536009,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q1",-1.629790537,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q2",-2.237879279,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q3",0,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1967-Q4",2.892640581,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1968-Q1",4.617508884,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1968-Q2",5.761267217,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1968-Q3",5.534700242,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1968-Q4",5.767579384,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1969-Q1",7.174887892,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1969-Q2",7.71280633,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1969-Q3",7.663339108,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1969-Q4",7.692303547,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1970-Q1",3.372586353,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1970-Q2",6.120867916,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1970-Q3",5.82953727,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1970-Q4",5.111265622,"E"
