"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1961",0.0389293300376033,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1962",5.46536448986532,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1963",6.14147898449217,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1964",6.20158963195473,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1965",5.01954428448843,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1966",2.93041623167363,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1967",7.19155428944374,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1968",5.33719498314639,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1969",6.21395523223574,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1970",6.95450522997423,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1971",3.88785877833721,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1972",2.27700928806236,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1973",4.3529749283312,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1974",1.62246186728841,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1975",2.48240510963759,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1976",3.83804661945436,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1977",1.48634932649795,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1978",2.01718847998922,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1979",4.58158173127509,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1980",2.71527001763575,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1981",4.18153319446458,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1982",-0.356993206571131,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1983",-0.194036522574029,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1984",6.58336070387069,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1985",5.02439593790123,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1986",1.85430522459716,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1987",5.29272348727885,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1988",4.43499300123402,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1989",4.30870804914023,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1990",1.40519559592068,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1991",-1.33193568481859,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1992",2.98140189404022,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1993",4.09414174690107,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1994",4.73802101319362,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1995",3.0780452718808,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1996",4.04694118768265,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1997",4.16705708699755,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1998",4.98609778949294,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1999",4.2072926534353,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2000",3.31101661328453,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2001",2.69581958835254,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2002",4.00188430506237,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2003",2.89351997206949,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2004",3.96540795294857,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2005",3.06311566378594,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2006",2.75769788346657,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2007",4.42941106480718,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2008",2.54077460966277,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2009",1.88961031790727,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2010",2.44615797273821,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2011",2.73221948203925,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2012",3.93031508681344,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2013",2.10024008228556,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2014",2.55055407668341,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2015",2.29159372427296,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2016",2.75835911513738,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2017",2.50122799525333,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2018",2.77410455163495,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.75486759979026,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2020",-6.33420748571838,
"AUS","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2021",1.04630592355068,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1961",0.0389293300376033,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1962",5.46536448986532,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1963",6.14147898449217,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1964",6.20158963195473,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1965",5.01954428448843,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1966",2.93041623167363,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1967",7.19155428944374,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1968",5.33719498314639,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1969",6.21395523223574,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1970",6.95450522997423,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1971",3.88785877833721,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1972",2.27700928806236,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1973",4.3529749283312,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1974",1.62246186728841,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1975",2.48240510963759,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1976",3.83804661945436,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1977",1.48634932649795,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1978",2.01718847998922,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1979",4.58158173127509,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1980",2.71527001763575,
"AUS","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1981",4.18153319446458,
